12359000, D,  1
12587500, D,  0
11724517, D,  7
79762, D,  0
12610229, D,  0
3028576, D,  0
12629000, D,  0
12487500, D,  0
6134500, T,  19
31875, D,  19
6155250, D,  19
12616500, D,  0
160, D,  1
1216, D,  1
240, D,  1
1363060, D,  2
2461536, D,  0
12002946, D,  4
656, T,  74
1856600, L,  0
12677500, S,  1
12300, D,  0
2070, D,  0
322, D,  18
283, D,  8
115, D,  16
81, D,  16
12222000, S,  0
12115000, S,  1
12015000, S,  0
9734058, D,  15
12048000, D,  5
50561, S,  15
512300, D,  0
3250250, D,  0
12668000, D,  0
3224688, L,  18
1633758, L,  15
73261, L,  15
205, D,  1
336, D,  0
483, D,  1
9941120, S,  5
9133948, S,  6
13648, S,  6
12293500, S,  1
12394500, S,  5
12423500, S,  0
192, S,  17
1006, S,  17
4277100, S,  0
444, S,  19
37225, S,  0
1536, S,  5
768, D,  40
1200, S,  0
1818, S,  1
74100, D,  0
265674, D,  85
6181000, D,  0
792, S,  0
1937, D,  169
1048, S,  19
12319500, S,  0
24508, S,  19
12501500, S,  1
12970000, S,  0
11797500, S,  2
12766500, S,  0
127500, S,  19
250000, S,  0
6666, S,  88
4660, S,  5
1905, S,  19
290, S,  19
12231000, S,  0
12609500, S,  1
12032457, S,  18
3460, S,  0
11909000, S,  4
3073750, S,  0
2592603, T,  8
1470498, L,  26
276816, S,  15
12001500, S,  3
3999325, T,  12
87, S,  19
7244809, S,  1
2249856, S,  1
9390345, S,  2
11757495, D,  18
12173500, S,  3
12034500, S,  0
12744500, S,  0
12563500, S,  0
12478500, S,  0
12131500, S,  0
12493000, S,  0
12094000, S,  0
38, S,  19
95, S,  19
51, S,  19
11674646, T,  5
83827, T,  15
1325, S,  17
12301100, S,  17
12480500, S,  6
166, D,  19
3101750, S,  0
11406530, S,  2
731481, S,  2
94, S,  18
576, S,  22
10920, S,  17
467700, S,  1
475400, S,  0
456100, S,  0
194, S,  18
486, T,  48
1605, T,  36
12564000, S,  1
12569500, S,  0
12147500, S,  0
58975, S,  0
1076100, S,  1
10277100, S,  0
13093500, S,  0
12299904, S,  14
169137, T,  53
9159450, D,  19
93846, T,  11
103629, S,  7
12610000, S,  1
12341000, S,  3
12510000, S,  0
314, S,  19
40, S,  0
274, S,  18
12125500, S,  0
1963200, S,  0
4331700, S,  0
4928, S,  19
11883000, S,  0
12266500, S,  0
2322, S,  9
5710128, T,  12
422100, S,  1
1653, S,  0
20342, S,  57
11773500, S,  0
12702000, S,  2
12305055, S,  11
12843000, S,  0
282880, S,  0
5386, S,  95
3906, S,  14
11786895, S,  5
12392723, S,  11
12469074, S,  8
2101050, S,  0
10149660, S,  0
141064, S,  2
4200, S,  0
5770, S,  12
980, S,  19
11034751, S,  18
11930586, S,  19
12756846, S,  5
5659640, S,  2
11957456, S,  4
5884720, S,  1
166860, S,  3
380864, S,  0
1329886, S,  0
12461000, S,  0
12369399, S,  0
11906500, S,  0
12060202, S,  1
9535575, S,  0
3002534, S,  0
12100177, S,  4
12478500, S,  12
12111000, S,  5
51801, S,  0
5741240, S,  0
8861156, S,  0
322, S,  13
1301, S,  19
11170294, S,  9
9948670, D,  17
986176, S,  19
6726553, S,  19
113, S,  19
294, S,  19
768, S,  19
1274289, T,  19
1234281, T,  17
1195488, T,  17
12781000, S,  0
12634500, S,  0
12052500, S,  0
11970000, S,  1
12619000, S,  0
12157000, S,  0
12373000, S,  0
12695000, S,  0
12660500, S,  0
363, S,  0
775, S,  0
686, S,  2
997, D,  3
153, D,  98
2, S,  19
63, S,  19
1332, S,  71
6427, S,  2
11994000, S,  0
12370000, S,  1
12322500, S,  0
12633000, S,  0
12402500, S,  0
12718500, S,  0
5728190, L,  7
7763997, L,  2
9990966, S,  1
642, D,  16
419, D,  10
8095, S,  17
57989, T,  12
58116, T,  6
59883, T,  8
704, S,  0
491400, S,  5
12424500, S,  3
503300, S,  0
1145250, S,  0
1913400, S,  0
371, S,  19
392, S,  19
11531989, S,  12
1938000, S,  0
1922000, S,  0
2009600, S,  1
12377500, T,  14
504400, T,  20
4648500, T,  13
12225206, S,  0
10325826, S,  1
5579280, S,  0
498339, S,  84
12287200, L,  21
935380, T,  10
232832, S,  0
19475, S,  1
8040, S,  16
1130, S,  19
467, S,  15
2838, S,  7
229, S,  19
506900, S,  0
12213000, S,  0
494, S,  19
11939000, S,  0
11731500, S,  0
12680000, S,  18
12794000, T,  0
11793702, S,  0
7329780, S,  1
9498721, S,  1
10048952, S,  0
5264638, T,  3
5409133, T,  3
5232290, T,  15
1045, D,  0
204, D,  18
187, D,  19
90000, S,  0
106506, D,  11
12368500, S,  0
612, S,  0
425900, S,  0
12189000, S,  0
392, S,  0
121, S,  18
123900, S,  0
12308500, S,  2
242500, S,  1
12554000, S,  0
0, S,  0
1512, S,  0
27, S,  19
531500, S,  0
3154750, S,  1
11615500, S,  0
200053, T,  53
481900, T,  168
12032977, T,  7
12687594, S,  1
12134753, T,  9
12538879, T,  8
5270, S,  0
1087800, S,  0
12517914, S,  0
191, S,  18
130, S,  9
128, S,  18
12348875, S,  65
12231959, T,  3
767012, T,  19
164, S,  19
12723000, S,  5
12205500, S,  1
2031654, S,  15
2138879, D,  5
2539951, D,  3
277429, D,  18
99685, L,  26
294954, D,  87
1024, D,  18
484400, D,  3
6634000, S,  0
12199000, S,  0
12697000, S,  1
12438000, S,  2
14660, S,  1
7042875, S,  0
12171000, S,  2
2542, S,  14
824, D,  19
1460, D,  19
433558, T,  18
325241, T,  15
7757126, L,  17
109760, S,  2
7550000, S,  0
70633, S,  11
12510500, S,  0
12715000, S,  2
250000, S,  1
32664, T,  68
37736, S,  41
51803, S,  89
2681324, L,  14
2478837, L,  9
2422874, L,  0
5340, D,  0
12361000, D,  1
11844190, T,  10
170744, S,  1
7319592, S,  0
9367456, S,  5
12375000, S,  0
12375000, S,  0
12375000, S,  0
12706000, S,  0
8834863, S,  15
12362500, L,  0
233772, S,  0
1226148, S,  0
510688, T,  30
45120, S,  1
12464500, S,  0
47561, D,  92
3073, S,  18
470600, S,  0
227891, S,  4
12378500, S,  0
496012, S,  19
9545, S,  1
2135, S,  0
345, S,  0
24477, S,  19
463200, S,  4
3137750, S,  0
11695000, S,  1
471500, S,  2
3205500, S,  0
12252000, S,  2
6191239, S,  0
6314384, S,  17
6380434, S,  11
569100, S,  0
107600, S,  5
292275, S,  0
265, S,  19
633, S,  18
1984, S,  14
2459, D,  289
425, S,  1
650, S,  3
1060752, S,  0
12806336, S,  0
70200, S,  0
30195, L,  7
56133, T,  70
9727740, D,  10
624875, S,  19
3532576, L,  6
12518569, S,  7
507000, S,  0
509400, S,  0
12187000, S,  0
392, S,  2
5687, S,  6
1305, D,  0
9979055, D,  2
10107910, D,  15
8662152, L,  19
11495955, S,  0
1993888, S,  0
4037320, S,  0
462, S,  19
855, S,  18
120, S,  0
73784, T,  5
11751500, S,  1
2520920, T,  9
12321000, S,  0
11753500, S,  0
12472000, S,  0
687, S,  19
2088, S,  41
204, S,  19
3218680, S,  0
222222, S,  0
4262375, S,  1
12189000, S,  6
11822000, S,  0
12500000, S,  0
12658500, S,  0
12442500, S,  0
12695500, S,  3
7917978, L,  17
7483462, D,  32
8797665, D,  35
20048, S,  3
6008094, L,  4
1638492, T,  3
1590, S,  0
17453, S,  1
19920, S,  1
12279000, S,  0
12336500, S,  1
12191500, S,  0
9330, S,  0
933660, S,  0
1973000, L,  0
6526935, L,  3
6750989, L,  2
6641183, L,  17
6112, S,  10
900, S,  18
13048970, T,  14
14260, S,  7
469300, S,  0
12394500, S,  0
2259198, S,  0
6062335, S,  0
1095200, S,  0
315, S,  19
117534, S,  11
195225, S,  5
12344500, S,  0
12139500, S,  0
12659000, S,  1
4502700, S,  0
7541600, S,  0
12678000, S,  0
915, S,  1
503100, S,  0
12485500, S,  0
12257660, T,  3
11193980, S,  4
12424500, D,  0
186, S,  18
522000, S,  1
12187000, S,  0
